,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
1411,vagifem,10,Highly Effective,No Side Effects,"Before the use of vagifem tablets, I had to endure a series of urinary infections after sometimes painful sexual intercourse.  I also had painful cracks in mucoal lining of vulva due to aging and dryness.  After beginning the use of this drug, I found that the ncreased mucous in vagina resolved both of these problems."
1412,diltiazem,1,Marginally Effective,Severe Side Effects,It seemed to reduced blood pressure.  No other benefits were observed.
1413,tri-luma,3,Marginally Effective,Moderate Side Effects,My skin was lighter in the area where I put Tri-luma.  The dark spot never did completely go away.
1414,allegra,10,Highly Effective,No Side Effects,"This drug alleviates my allergic responses--itchy eyes and sneezing.  It's effective because if I don't use it, my symptoms return."
1415,imodium,6,Moderately Effective,No Side Effects,"Diarrhea lessened after about 8 hours, but not until after another 2 severe occurences. Had hoped for quicker, more effective response."
1416,synthroid,10,Considerably Effective,No Side Effects,"Increased energy; I happened to be without the drug for one week, and felt absolutely terrible - like I was completely knocked down."
1417,claritin,1,Ineffective,Extremely Severe Side Effects,No benefits.
1418,prograf,10,Highly Effective,Mild Side Effects,"Have not had any issues with rejection.  Patient has now be diagonosed with the JC virus, which has been a side effect of Cellcept.  Blood test must be taken weekly to check the fine line of not have to much or to little of the prograf in the system.  If patient did not have the JC virus, blood test would be less frequent."
1419,periostat,8,Considerably Effective,Moderate Side Effects,"The drug prevents the pustules that can result from Rosacea.  When I do not take the drug for a week, the pustules tend to reappear."
1420,zovirax,10,Highly Effective,No Side Effects,heal herpeses and prevent from breacing in the feature
1421,macrobid,1,Marginally Effective,Extremely Severe Side Effects,None
1422,seroquel,10,Highly Effective,Mild Side Effects,"decreases episodes of mania, and provides a full nights sleep."
1423,wellbutrin,6,Considerably Effective,Moderate Side Effects,The medication treated the depression without the sexual side-effects that accompanied several other medications for depression.
1424,carac,10,Highly Effective,Moderate Side Effects,Carac is used once a day as a topical cream in order to remove pre cancerous cells.  It did a great job of removing all bad cells.  I used it before going to bed.  I only used it 2 weeks because I had the reaction quicker than most.
1425,claritin,5,Moderately Effective,Moderate Side Effects,The drug cleared my sinuses but took some time to become effective after use. The effect only lasted about half a day. I would take this off and on for about 3 months.
1426,actonel,7,Moderately Effective,Moderate Side Effects,Actonel helped my bone density increase the first two years.
1427,exelon,10,Highly Effective,No Side Effects,"overall benefits were great. memory has not gotten worse and there is less frustration on my part. Makes my day much better. Although, I have peaks and
lows...my lows have been better."
1428,ambien,3,Considerably Effective,Severe Side Effects,The drug does get the patient to sleep very soon after taking the drug.
1429,remicade,8,Highly Effective,Moderate Side Effects,Calmed my crohns and inflamations. Allowed me to eat more foods. Made bathroom trips easier and less painful
1430,benicar,10,Highly Effective,No Side Effects,My BP is in a normal range when I take this medication. I only require a very low dose.
1431,macrobid,2,Ineffective,Severe Side Effects,none this stuff was awful -it hurt me -dont take it
1432,zocor,8,Considerably Effective,No Side Effects,The benefits of this treatment are the lowering of my bad cholesterol.  I would believe that the other benefits would be less build up plaque in my arteries.
1433,claripel-cream,1,Ineffective,Moderate Side Effects,I did not have any benefits by using hydroquinone
1434,adipex-p,10,Highly Effective,No Side Effects,"With in three days I felt the surge of energy that I expected. I no longer felt tired all the time. I was able to play with my kids more often and had the energy to work, clean, go to school, and still exercise for one hour a day. I felt alive and more like who I use to be. I'm happy again and currently have dropped 12 dress sizes thanks to my doctor and this medication he prescribed."
1435,zoloft,10,Considerably Effective,No Side Effects,Depression free most days.
1436,divigel,10,Highly Effective,No Side Effects,The Night sweats are almost non-existent now - occurring very irregularly and the vaginal dryness is remarkably better.
1437,dostinex,7,Considerably Effective,Moderate Side Effects,To reduce elevated prolactin and control the growth of the tumour
1438,spironolactone,7,Considerably Effective,Mild Side Effects,my usually oily skin dried up considerably and as a result the frequency of spots reduced.
1439,estrace,9,Highly Effective,No Side Effects,"The treatment benefits were huge - all hot flashes stopped within 1 week, skin dryness subsided, irritability was greatly reduced and energy levels are much higher."
1440,effexor-xr,2,Ineffective,Severe Side Effects,"I took it for three months and I did not feel any less depressed. I actually felt kind of paranois and ""out of it."" I did not fee any less depressed, in fact more anxious."
1441,asacol,9,Considerably Effective,Mild Side Effects,"The treatment benefits included a decrease an abdominal pain, a decrease in diahrea and blood in the stool.  There were also benefits in overall comfort when dealing with day to day activities.  The decrease in abdominal pain and frequent diahrea allows me to perform my daily activities."
1442,wellbutrin,9,Highly Effective,No Side Effects,"Experienced significant mood improvement in 2 weeks, increasingly more apparent over time. Where other medications had not worked, or had adverse side effects, Wellbutrin did not. This after several years of trial and error with other anti-depressants."
1443,aciphex,10,Highly Effective,No Side Effects,My husband started taking Aciphex when it first came out because he could not take any of the others. He started getting better after few months and stopped taking it afew times because insurance would not approve it. He immediately became ill and ended up in the hospital. Now after 6 yrs my husband has no symptoms other than occasional acid reflux when eating anything with tomato sauce.
1444,imitrex,8,Highly Effective,Mild Side Effects,"I have taken Imitrex off and on for over 15 years. I have migraine headaches. Typically one tablet of Imitrex gets rid of the headache, usually within 30 minutes."
